cduid,geo,population
3501,"Stormont, Dundas and Glengarry, Ontario",121288
3502,"Prescott and Russell, Ontario",100625
3506,"Ottawa, Ontario",1071868
3507,"Leeds and Grenville, Ontario",106785
3509,"Lanark, Ontario",77454
3510,"Frontenac, Ontario",167405
3511,"Lennox and Addington, Ontario",46287
3512,"Hastings, Ontario",150538
3513,"Prince Edward, Ontario",26816
3514,"Northumberland, Ontario",92315
3515,"Peterborough, Ontario",151043
3516,"Kawartha Lakes, Ontario",83355
3518,"Durham, Ontario",745580
3519,"York, Ontario",1224524
3520,"Toronto, Ontario",3025647
3521,"Peel, Ontario",1599351
3522,"Dufferin, Ontario",70175
3523,"Wellington, Ontario",251458
3524,"Halton, Ontario",627200
3525,"Hamilton, Ontario",597010
3526,"Niagara, Ontario",496059
3528,"Haldimand-Norfolk, Ontario",125404
3529,"Brant, Ontario",159508
3530,"Waterloo, Ontario",633828
3531,"Perth, Ontario",85759
3532,"Oxford, Ontario",128479
3534,"Elgin, Ontario",99939
3536,"Chatham-Kent, Ontario",109049
3537,"Essex, Ontario",436061
3538,"Lambton, Ontario",134331
3539,"Middlesex, Ontario",531933
3540,"Huron, Ontario",64757
3541,"Bruce, Ontario",77221
3542,"Grey, Ontario",105421
3543,"Simcoe, Ontario",564946
3544,"Muskoka, Ontario",69287
3546,"Haliburton, Ontario",20387
3547,"Renfrew, Ontario",109308
3548,"Nipissing, Ontario",90580
3549,"Parry Sound, Ontario",46184
3551,"Manitoulin, Ontario",14361
3552,"Sudbury, Ontario",22746
3553,"Greater Sudbury, Ontario",171568
3554,"Timiskaming, Ontario",33564
3556,"Cochrane, Ontario",80606
3557,"Algoma, Ontario",119620
3558,"Thunder Bay, Ontario",149828
3559,"Rainy River, Ontario",20564
3560,"Kenora, Ontario",71394
