"Institution","City","Region","Operating_Status","Latitude","Longitude","CDUID","CDNAME","CDTYPE"
"Algoma Treatment and Remand Centre","Sault Ste. Marie","Northern","Open",46.55004065,-84.31548756,"3557","Algoma","DIS"
"Brantford Jail","Brantford","Western","Closed",43.14203958,-80.26334016,"3529","Brant","CDR"
"Brockville Jail","Brockville","Eastern","Open",44.591072,-75.68556,"3507","Leeds and Grenville","UC"
"Central East Correctional Centre","Lindsay","Eastern","Open",44.379267,-78.730342,"3516","Kawartha Lakes","CDR"
"Central North Correctional Centre","Penetanguishene","Western","Open",44.799251,-79.923531,"3543","Simcoe","CTY"
"Chatham Jail","Chatham","Western","Closed",42.40955164,-82.17974788,"3536","Chatham-Kent","CDR"
"Elgin-Middlesex Detention Centre","London","Western","Open",42.920803,-81.224303,"3539","Middlesex","CTY"
"Fort Frances Jail","Fort Frances","Northern","Open",48.608085,-93.3948,"3559","Rainy River","DIS"
"Hamilton-Wentworth Detention Centre","Hamilton","Central","Open",43.263267,-79.858734,"3525","Hamilton","CDR"
"Kenora Jail","Kenora","Northern","Open",49.760542,-94.465081,"3560","Kenora","DIS"
"Maplehurst Correctional Complex","Milton","Central","Open",43.525747,-79.898341,"3524","Halton","RM"
"Mimico Correctional Centre","Toronto","Toronto","Closed",43.61208534,-79.51627636,"3520","Toronto","CDR"
"Monteith Correctional Complex","Monteith","Northern","Open",48.641872,-80.678001,"3556","Cochrane","DIS"
"Monteith Jail","Monteith","Northern","Closed",48.64171642,-80.67793692,"3556","Cochrane","DIS"
"Niagara Detention Centre","Thorold","Central","Open",43.087112,-79.196749,"3526","Niagara","RM"
"North Bay Jail","North Bay","Northern","Open",46.32402,-79.433549,"3548","Nipissing","DIS"
"Ontario Correctional Institute","Brampton","Central","Open",43.669681,-79.765659,"3521","Peel","RM"
"Ottawa-Carleton Detention Centre","Ottawa","Eastern","Open",45.42433,-75.579237,"3506","Ottawa","CDR"
"Owen Sound Jail","Owen Sound","Western","Closed",44.57183421,-80.93874169,"3542","Grey","CTY"
"Quinte Detention Centre","Napanee","Eastern","Open",44.263144,-76.960813,"3511","Lennox and Addington","CTY"
"Sarnia Jail","Sarnia","Western","Open",42.989253,-82.394834,"3538","Lambton","CTY"
"South West Detention Centre","Maidstone","Western","Open",42.250031,-82.9497,"3537","Essex","CTY"
"St. Lawrence Valley Correctional and Treatment Centre","Brockville","Eastern","Open",44.60663131,-75.66683139,"3507","Leeds and Grenville","UC"
"Stratford Jail","Stratford","Western","Open",43.371247,-80.985895,"3531","Perth","CTY"
"Sudbury Jail","Sudbury","Northern","Open",46.492809,-81.002629,"3553","Greater Sudbury / Grand Sudbury","CDR"
"Thunder Bay Correctional Centre","Thunder Bay","Northern","Open",48.310749,-89.377572,"3558","Thunder Bay","DIS"
"Thunder Bay Jail","Thunder Bay","Northern","Open",48.452287,-89.199776,"3558","Thunder Bay","DIS"
"Toronto East Detention Centre","Scarborough","Toronto","Open",43.727274,-79.281333,"3520","Toronto","CDR"
"Toronto Intermittent Centre","Toronto","Toronto","Closed",43.610067,-79.516187,"3520","Toronto","CDR"
"Toronto Jail","Toronto","Toronto","Closed",43.66605398,-79.35425727,"3520","Toronto","CDR"
"Toronto South Detention Centre","Toronto","Toronto","Open",43.610067,-79.516187,"3520","Toronto","CDR"
"Toronto West Detention Centre","Toronto","Toronto","Closed",43.69948173,-79.59789473,"3520","Toronto","CDR"
"Vanier Centre for Women","Milton","Central","Open",43.526838,-79.898405,"3524","Halton","RM"
"Walkerton Jail","Walkerton","Western","Closed",44.13099746,-81.15004226,"3541","Bruce","CTY"
"Windsor Jail","Windsor","Western","Closed",42.29998309,-83.07552335,"3537","Essex","CTY"
