Institution,Facility_Type,Sex,Region,Street,City,Province,Country,Postal_Code,Latitude,Longitude,Operating_Status,Year_Opened,Year_Closed, Operational_Capacity 
Algoma Treatment and Remand Centre,Treatment Centre,Females and Males,Northern,800 Great Northern Rd,Sault Ste. Marie,Ontario,Canada,P6B 0B5,46.55004065,-84.31548756,Open,1990,,133
Brantford Jail,Jail,Males,Western,105 Market St.,Brantford,Ontario,Canada,N3T 6A9,43.14203958,-80.26334016,Closed,1852,2017,
Brockville Jail,Jail,Males,Eastern,10 Wall Street,Brockville,Ontario,Canada,K6V 4R9,44.591072,-75.68556,Open,1842,,48
Central East Correctional Centre,Correctional Centre,Females and Males,Eastern,541 Highway 36,Lindsay,Ontario,Canada,K9V 4S6,44.379267,-78.730342,Open,2002,,"1,016"
Central North Correctional Centre,Correctional Centre,Females and Males,Western,1501 Fuller Avenue,Penetanguishene,Ontario,Canada,L9M 2H4,44.799251,-79.923531,Open,2001,,"1,060"
Chatham Jail,Jail,Males,Western,17 Seventh St.,Chatham,Ontario,Canada,N7M 4J9,42.40955164,-82.17974788,Closed,1849,2014,
Elgin-Middlesex Detention Centre,Detention Centre,Females and Males,Western,711 Exeter Road,London,Ontario,Canada,N6E 1L3,42.920803,-81.224303,Open,1977,,388
Fort Frances Jail,Jail,Females and Males,Northern,310 Nelson Street,Fort Frances,Ontario,Canada,P9A 1B1,48.608085,-93.3948,Open,1907,,22
Hamilton-Wentworth Detention Centre,Detention Centre,Females and Males,Central,165 Barton Street East,Hamilton,Ontario,Canada,L8L 2W6,43.263267,-79.858734,Open,1978,,466
Kenora Jail,Jail,Females and Males,Northern,1430 River Street,Kenora,Ontario,Canada,P9N 1K5,49.760542,-94.465081,Open,1926,,196
Maplehurst Correctional Complex,Correctional Centre,Males,Central,661 Martin Street,Milton,Ontario,Canada,L9T 2Y3,43.525747,-79.898341,Open,1975,,944
Mimico Correctional Centre,Correctional Centre,Males,Toronto,130 Horner Avenue,Toronto,Ontario,Canada,M8Z 4Y1,43.61208534,-79.51627636,Closed,1952,2012,
Monteith Correctional Complex,Correctional Centre,Females and Males,Northern,3052 Rese Road,Monteith,Ontario,Canada,P0K 1P0,48.641872,-80.678001,Open,1965,,222
Monteith Jail,Jail,Females and Males,Northern,3052 Rese Road,Monteith,Ontario,Canada,P0K 1P0,48.64171642,-80.67793692,Closed,1938,2014,
Niagara Detention Centre,Detention Centre,Females and Males,Central,1355 Uppers Lane Hwy 58,Thorold,Ontario,Canada,L2V 4A6,43.087112,-79.196749,Open,1973,,240
North Bay Jail,Jail,Females and Males,Northern,2550 Trout Lake Road,North Bay,Ontario,Canada,P1B 7S7,46.32402,-79.433549,Open,1930,,104
Ontario Correctional Institute,Correctional and Treatment Centre,Males,Central,109 McLaughin Road South,Brampton,Ontario,Canada,L6Y 2C8,43.669681,-79.765659,Open,1973,,98
Ottawa-Carleton Detention Centre,Detention Centre,Females and Males,Eastern,2244 Innes Road,Ottawa,Ontario,Canada,K1B 4C4,45.42433,-75.579237,Open,1972,,484
Owen Sound Jail,Jail,Females and Males,Western,1237 3rd Ave E,Owen Sound,Ontario,Canada,N4K 2L6,44.57183421,-80.93874169,Closed,1854,2012,
