dataset,n_cols,signature
a01_restrictive_confinement_detailed_dataset,10,Age_Category|EndFiscalYear|Gender|MentalHealth_Alert|Number_Of_Placements|Region_AtTimeOfPlacement|Region_MostRecentPlacement|SuicideRisk_Alert|SuicideWatch_Alert|UniqueIndividual_ID
b01_segregation_detailed_dataset,18,Age_Category|EndFiscalYear|Gender|MentalHealth_Alert|NumberConsecutiveDays_Segregation|Number_Of_Placements|Region_AtTimeOfPlacement|Region_MostRecentPlacement|SegReason_Disciplinary_Segregation|SegReason_InmateNeedsProtection|SegReason_InmateNeedsProtection_Medical|SegReason_InmateRefuseSearch_Scan|SegReason_Other|SegReason_SecurityOfInstitution_SafetyOfOthers|SegReason_SecurityOfInstitution_SafetyOfOthers_Medical|SuicideRisk_Alert|SuicideWatch_Alert|UniqueIndividual_ID
b02_segregation_detailed_total_days,6,Age_Category|EndFiscalYear|Gender|Region_MostRecentPlacement|TotalAggregatedDays_Segregation|UniqueIndividual_ID
b03_segregation_placements_alerts_and_hold_flags_by_institution,6,Alert_Presence|Alert_Type|EndFiscalYear|Institution_AtTimeOfPlacement|Number_SegregationPlacements|Region_AtTimeOfPlacement
b04_segregation_placements_consecutive_durations_by_region,5,EndFiscalYear|Gender|Measure|NumberConsecutiveDays_Segregation|Region_AtTimeOfPlacement
b05_segregation_placements_consecutive_lengths,3,Consecutive_Duration|EndFiscalYear|Number_SegregationPlacements
b06_segregation_placements_reason_for_placement_by_institution,6,EndFiscalYear|Gender|Institution_AtTimeOfPlacement|Number_SegregationPlacements|Reason|Region_AtTimeOfPlacement
b07_segregation_placements_alerts_and_hold_flags_by_gender,5,Alert_Type|EndFiscalYear|Gender|Number_Segregation_Placements_With_Alert|Number_Segregation_Placements_Without_Alert
b08_segregation_placements_consecutive_durations_by_institution,6,EndFiscalYear|Gender|Institution_AtTimeOfPlacement|Measure|NumberConsecutiveDays_Segregation|Region_AtTimeOfPlacement
b09_individuals_in_segregation_number_of_times_in_segregation,4,EndFiscalYear|Gender|NumberIndividuals_Segregation|NumberPlacements_Segregation
c01_individuals_in_segregation_and_restrictive_confinement_total_individuals,5,EndFiscalYear|Gender|NumberIndividuals_InCustody|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation
c02_individuals_in_segregation_and_restrictive_confinement_by_institution,6,EndFiscalYear|Gender|Institution_MostRecentPlacement|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation|Region_MostRecentPlacement
c03_individuals_in_segregation_and_restrictive_confinement_race_by_gender,6,EndFiscalYear|Gender|NumberIndividuals_InCustody|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation|Race
c04_individuals_in_segregation_and_restrictive_confinement_race_by_region,5,EndFiscalYear|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation|Race|Region_MostRecentPlacement
c05_individuals_in_segregation_and_restrictive_confinement_religion_by_region,5,EndFiscalYear|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation|Region_MostRecentPlacement|Religion
c06_individuals_in_segregation_and_restrictive_confinement_age_category_by_region,5,Age_Category|EndFiscalYear|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation|Region_MostRecentPlacement
c07_individuals_in_segregation_and_restrictive_confinement_alerts_and_hold_flags,6,Alert_Type|EndFiscalYear|Gender|NumberIndividuals_InCustody|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation
c08_individuals_in_segregation_and_restrictive_confinement_religion_by_gender,6,EndFiscalYear|Gender|NumberIndividuals_InCustody|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation|Religion
c09_individuals_in_segregation_and_restrictive_confinement_age_category_by_gender,6,Age_Category|EndFiscalYear|Gender|NumberIndividuals_InCustody|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation
c10_segregation_and_restrictive_confinement_aggregate_durations_by_institution,7,EndFiscalYear|Gender|Institution_MostRecentPlacement|Measure|Region_MostRecentPlacement|TotalAggregatedDays_RestrictiveConfinement|TotalAggregatedDays_Segregation
c11_individuals_in_segregation_and_restrictive_confinement_aggregate_lengths,4,Aggregate_Duration|EndFiscalYear|NumberIndividuals_RestrictiveConfinement|NumberIndividuals_Segregation
c12_segregation_and_restrictive_confinement_aggregate_durations_by_region,6,EndFiscalYear|Gender|Measure|Region_MostRecentPlacement|TotalAggregatedDays_RestrictiveConfinement|TotalAggregatedDays_Segregation
d01_deaths_in_custody_detailed_dataset,6,HousingUnit_Type|MeansofDeath|MedicalCauseofDeath|Region_AtTimeOfDeath|UniqueIndividual_ID|Year
d02_deaths_in_custody_gender,3,Gender|Number_CustodialDeaths|Year
d03_deaths_in_custody_race,3,Number_CustodialDeaths|Race|Year
d04_deaths_in_custody_religion,3,Number_CustodialDeaths|Religion|Year
d05_deaths_in_custody_age_category,3,Age_Category|Number_CustodialDeaths|Year
d06_deaths_in_custody_cause_of_death_by_alert_by_institution,4,Alert_Type|MedicalCauseOfDeath|Number_CustodialDeaths|Year
d07_deaths_in_custody_alerts_by_housing_unit,4,Alert_Type|Housing_Type|Number_CustodialDeaths|Year
